Zip,City,State
42402,Baskett,KY
42409,Dixon,KY
65661,Greenfield,MO
65804,Springfield,MO
67428,Canton,KS
59344,Plevna,MT
60443,Matteson,IL
98471,Tacoma,WA
99670,South Naknek,AK
96037,Greenview,CA
68954,Inland,NE
72021,Brinkley,AR
76902,San Angelo,TX
77482,Van Vleck,TX
79734,Fort Davis,TX
79998,El Paso,TX
92427,San Bernardino,CA
93011,Camarillo,CA
81416,Delta,CO
74534,Centrahoma,OK
84066,Roosevelt,UT
84136,Salt Lake City,UT
85439,San Luis,AZ
73448,Marietta,OK
47405,Bloomington,IN
47903,Lafayette,IN
42371,Rumsey,KY
43548,New Bavaria,OH
36859,Holy Trinity,AL
38731,Chatham,MS
58630,Gladstone,ND
59072,Roundup,MT
59641,Radersburg,MT
62305,Quincy,IL
62378,Versailles,IL
63361,Montgomery City,MO
63951,Lowndes,MO
97838,Hermiston,OR
99020,Marshall,WA
99683,Trapper Creek,AK
94232,Sacramento,CA
95225,Burson,CA
95556,Orleans,CA
05084,West Hartford,VT
06497,Stratford,CT
99950,Ketchikan,AK
29911,Brunson,SC
48139,Hamburg,MI
48642,Midland,MI
49028,Bronson,MI
24613,Falls Mills,VA
25142,Nellis,WV
25364,Charleston,WV
25696,Varney,WV
26206,Cowen,WV
38568,Hilham,TN
24025,Roanoke,VA
32455,Ponce De Leon,FL
30464,Stillmore,GA
34695,Safety Harbor,FL
35052,Cook Springs,AL
36451,Grove Hill,AL
37939,Knoxville,TN
19493,Valley Forge,PA
21281,Baltimore,MD
22741,Stevensburg,VA
23418,Onley,VA
25555,Prichard,WV
41651,Minnie,KY
42049,Hazel,KY
43557,Stryker,OH
33413,West Palm Beach,FL
33468,Jupiter,FL
78578,Port Isabel,TX
49762,Naubinway,MI
50230,Radcliffe,IA
73189,Oklahoma City,OK
57230,De Smet,SD
93311,Bakersfield,CA
59732,Glen,MT
95406,Santa Rosa,CA
44276,Sterling,OH
95663,Penryn,CA
47467,Tunnelton,IN
67156,Winfield,KS
63804,Blodgett,MO
08740,Ocean Gate,NJ
54552,Park Falls,WI
54865,Port Wing,WI
62665,Meredosia,IL
61854,Mansfield,IL
50626,Dunkerton,IA
74536,Clayton,OK
56276,Odessa,MN
57257,Peever,SD
20695,White Plains,MD
99102,Albion,WA
32583,Milton,FL
22953,Madison Mills,VA
30290,Tyrone,GA
30537,Dillard,GA
04673,Sargentville,ME
97504,Medford,OR
98513,Olympia,WA
14741,Great Valley,NY
15924,Cairnbrook,PA
59848,Lonepine,MT
12724,Callicoon Center,NY
78963,West Point,TX
13493,Williamstown,NY
93725,Fresno,CA
08312,Clayton,NJ
67472,Chapman,KS
01116,Longmeadow,MA
68072,Winslow,NE
60016,Des Plaines,IL
83804,Blanchard,ID
84747,Loa,UT
50258,Union,IA
85334,Ehrenberg,AZ
52032,Bernard,IA
97845,John Day,OR
52537,Bloomfield,IA
95222,Angels Camp,CA
56533,Elizabeth,MN
77074,Houston,TX
74064,McCord,OK
79705,Midland,TX
54204,Brussels,WI
55317,Chanhassen,MN
65061,Morrison,MO
66040,La Cygne,KS
54981,Waupaca,WI
59319,Capitol,MT
60545,Plano,IL
13617,Canton,NY
83624,Grand View,ID
06501,New Haven,CT
98605,Bingen,WA
04660,Mount Desert,ME
91711,Claremont,CA
23429,Seaview,VA
77612,Buna,TX
29304,Spartanburg,SC
31779,Pelham,GA
29709,Chesterfield,SC
37732,Elgin,TN
29922,Garnett,SC
39451,Leakesville,MS
46181,Trafalgar,IN
45894,Venedocia,OH
95170,San Jose,CA
48756,Prescott,MI
90748,Wilmington,CA
40071,Taylorsville,KY
87825,Magdalena,NM
51501,Council Bluffs,IA
01128,Springfield,MA
38680,Walls,MS
55055,Newport,MN
56676,Shevlin,MN
57004,Beresford,SD
57380,Wagner,SD
34238,Sarasota,FL
52049,Garnavillo,IA
49758,Greenwood,MI
53956,Randolph,WI
38562,Gainesboro,TN
31050,Knoxville,GA
32065,Orange Park,FL
48787,Frankenmuth,MI
37755,Helenwood,TN
44133,North Royalton,OH
39564,Ocean Springs,MS
46580,Warsaw,IN
47381,Salamonia,IN
57013,Canton,SD
61075,Scales Mound,IL
57774,Provo,SD
67546,Inman,KS
50392,Des Moines,IA
67732,Brewster,KS
04936,Eustis,ME
74632,Braman,OK
05483,Sheldon,VT
19435,Frederick,PA
00640,Coamo,PR
05054,North Thetford,VT
89138,Las Vegas,NV
05462,Huntington,VT
91609,North Hollywood,CA
07064,Port Reading,NJ
07201,Elizabeth,NJ
97907,Huntington,OR
10040,New York,NY
77030,Houston,TX
27144,Salisbury,NC
32431,Cottondale,FL
39632,Chatawa,MS
90844,Long Beach,CA
52240,Iowa City,IA
70543,Iota,LA
71430,Forest Hill,LA
67530,Great Bend,KS
71740,Emerson,AR
07841,Great Meadows-Vienna,NJ
62791,Springfield,IL
10017,New York,NY
10099,New York,NY
63630,Cadet,MO
11960,Remsenburg,NY
59720,Cameron,MT
06340,Groton,CT
16319,Cranberry,PA
71028,Gibsland,LA
16948,Ulysses,PA
71902,Hot Springs National Park,AR
43845,West Lafayette,OH
55166,Saint Paul,MN
28023,China Grove,NC
73944,Hardesty,OK
32751,Maitland,FL
75978,Woden,TX
33704,Saint Petersburg,FL
44067,Northfield,OH
20064,Washington,DC
20627,Compton,MD
22156,Springfield,VA
22403,Fredericksburg,VA
22880,Waynesboro,VA
23323,Chesapeake,VA
04055,Naples,ME
05046,Groton,VT
05748,Hancock,VT
06516,West Haven,CT
07403,Bloomingdale,NJ
14885,Troupsburg,NY
16512,Erie,PA
12015,Athens,NY
07960,Morristown,NJ
11222,Brooklyn,NY
11252,Brooklyn,NY
00952,Sabana Seca,PR
01524,Leicester,MA
17545,Manheim,PA
17760,North Bend,PA
18709,Luzerne,PA
19177,Philadelphia,PA
85075,Phoenix,AZ
98236,Clinton,WA
98329,Gig Harbor,WA
99005,Colbert,WA
99202,Spokane,WA
93596,Boron,CA
94118,San Francisco,CA
95365,Planada,CA
96109,Doyle,CA
97381,Silverton,OR
13630,De Kalb Junction,NY
79758,Gardendale,TX
15338,Greensboro,PA
53019,Eden,WI
54301,Green Bay,WI
65746,Seymour,MO
20817,Bethesda,MD
62850,Johnsonville,IL
22802,Harrisonburg,VA
23829,Capron,VA
70657,Ragley,LA
19076,Prospect Park,PA
71965,Pencil Bluff,AR
12570,Poughquag,NY
63827,Bragg City,MO
76431,Chico,TX
79008,Borger,TX
59934,Trego,MT
60473,South Holland,IL
80864,Yoder,CO
81242,Poncha Springs,CO
83321,Castleford,ID
64502,Saint Joseph,MO
64659,Meadville,MO
74833,Castle,OK
75355,Dallas,TX
75389,Dallas,TX
90612,Whittier,CA
95255,West Point,CA
97637,Plush,OR
98398,Paradise Inn,WA
04224,Dixfield,ME
04489,Stillwater,ME
01108,Springfield,MA
01561,South Lancaster,MA
32949,Grant,FL
13753,Delhi,NY
14481,Leicester,NY
16404,Centerville,PA
26106,Parkersburg,WV
20042,Washington,DC
18070,Palm,PA
18251,Sybertsville,PA
18774,Wilkes Barre,PA
19372,Thorndale,PA
13611,Belleville,NY
15255,Pittsburgh,PA
94103,San Francisco,CA
95798,West Sacramento,CA
97415,Brookings,OR
90630,Cypress,CA
98637,Nahcotta,WA
98951,Wapato,WA
72424,Datto,AR
73848,Laverne,OK
66618,Topeka,KS
67441,Enterprise,KS
67761,Wallace,KS
68157,Omaha,NE
68963,Norman,NE
69171,Willow Island,NE
63561,Queen City,MO
65282,Santa Fe,MO
84093,Sandy,UT
62273,Pierron,IL
78932,Carmine,TX
35902,Gadsden,AL
36023,East Tallassee,AL
49406,Douglas,MI
48146,Lincoln Park,MI
20143,Catharpin,VA
21911,Rising Sun,MD
21912,Warwick,MD
22904,Charlottesville,VA
04976,Skowhegan,ME
06650,Bridgeport,CT
14840,Hammondsport,NY
78053,McCoy,TX
78126,San Antonio,TX
79016,Canyon,TX
79256,Roaring Springs,TX
59719,Bozeman,MT
61058,Nelson,IL
61231,Aledo,IL
61741,Forrest,IL
63879,Wardell,MO
64482,Rock Port,MO
68827,Chapman,NE
70352,Donner,LA
66021,Edgerton,KS
68026,Fremont,NE
87538,Ilfeld,NM
74941,Keota,OK
72427,Egypt,AR
80498,Silverthorne,CO
83220,Bern,ID
16678,Saxton,PA
31742,Dawson,GA
32435,Defuniak Springs,FL
32824,Orlando,FL
24171,Stuart,VA
25843,Ghent,WV
22716,Castleton,VA
19107,Philadelphia,PA
19147,Philadelphia,PA
19430,Creamery,PA
08511,Cookstown,NJ
29431,Bonneau,SC
12836,Hague,NY
28359,Lumberton,NC
52337,Stanwood,IA
52752,Grandview,IA
53033,Hubertus,WI
54844,Herbster,WI
56082,Saint Peter,MN
37224,Nashville,TN
37304,Bakewell,TN
37353,McDonald,TN
37860,Russellville,TN
16854,Millheim,PA
08327,Leesburg,NJ
13428,Palatine Bridge,NY
14047,Derby,NY
24853,Kimball,WV
24944,Green Bank,WV
01586,West Millbury,MA
19089,Wayne,PA
95137,San Jose,CA
78042,Laredo,TX
81153,San Pablo,CO
64672,Powersville,MO
65026,Eldon,MO
67445,Glasco,KS
68133,Papillion,NE
68949,Holdrege,NE
69001,McCook,NE
89008,Caliente,NV
90401,Santa Monica,CA
78219,San Antonio,TX
78475,Corpus Christi,TX
79311,Abernathy,TX
71953,Mena,AR
73666,Sweetwater,OK
74108,Tulsa,OK
03825,Barrington,NH
03853,Mirror Lake,NH
06334,Bozrah,CT
00915,San Juan,PR
01104,Springfield,MA
02179,Waverley,MA
65556,Richland,MO
66222,Shawnee Mission,KS
59528,Hingham,MT
59854,Ovando,MT
60067,Palatine,IL
52644,Mount Union,IA
52730,Camanche,IA
53224,Milwaukee,WI
37205,Nashville,TN
15216,Pittsburgh,PA
15365,Taylorstown,PA
45614,Bidwell,OH
98358,Nordland,WA
54638,Kendall,WI
55005,Bethel,MN
56282,Raymond,MN
61054,Mount Morris,IL
78703,Austin,TX
79239,Lakeview,TX
92657,Newport Coast,CA
64628,Brookfield,MO
65546,Montier,MO
65590,Long Lane,MO
58467,Medina,ND
58770,Parshall,ND
68309,Barneston,NE
61335,McNabb,IL
62061,Marine,IL
20608,Aquasco,MD
21660,Ridgely,MD
78341,Benavides,TX
64492,Trimble,MO
68337,Dawson,NE
68757,Newcastle,NE
75657,Jefferson,TX
76034,Colleyville,TX
70630,Bell City,LA
70653,Merryville,LA
70785,Walker,LA
71362,Plaucheville,LA
63873,Portageville,MO
80419,Golden,CO
73937,Felt,OK
89439,Verdi,CA
90290,Topanga,CA
92684,Westminster,CA
84631,Fillmore,UT
85013,Phoenix,AZ
87062,Veguita,NM
94607,Oakland,CA
98522,Adna,WA
99522,Anchorage,AK
50011,Ames,IA
50105,Gilbert,IA
50588,Storm Lake,IA
50674,Sumner,IA
70755,Livonia,LA
65265,Mexico,MO
65620,Bruner,MO
66620,Topeka,KS
44270,Rittman,OH
44851,New London,OH
51574,Tennant,IA
99774,Stevens Village,AK
17554,Mountville,PA
17579,Strasburg,PA
17608,Lancaster,PA
19026,Drexel Hill,PA
12465,Pine Hill,NY
62259,Menard,IL
13163,Wampsville,NY
05751,Killington,VT
73547,Granite,OK
74050,Oakhurst,OK
74121,Tulsa,OK
51536,Hancock,IA
53142,Kenosha,WI
62479,Wheeler,IL
62625,Cantrall,IL
68022,Elkhorn,NE
70359,Gray,LA
61278,Rapids City,IL
81631,Eagle,CO
85320,Aguila,AZ
78607,Bluffton,TX
78614,Cost,TX
98287,Silvana,WA
87528,Dulce,NM
95361,Oakdale,CA
92615,Huntington Beach,CA
76539,Kempner,TX
29856,Windsor,SC
34604,Spring Hill,FL
36270,Newell,AL
39163,Sharon,MS
39648,Mccomb,MS
45383,West Milton,OH
45838,Elgin,OH
92403,San Bernardino,CA
98104,Seattle,WA
99203,Spokane,WA
55801,Duluth,MN
58036,Gardner,ND
41310,Bays,KY
41772,Vest,KY
43317,Chesterville,OH
43432,Graytown,OH
43967,Warnock,OH
45358,Pitsburg,OH
33061,Pompano Beach,FL
33731,Saint Petersburg,FL
50607,Aurora,IA
52149,Highlandville,IA
53185,Waterford,WI
48092,Warren,MI
49265,Onsted,MI
39638,Gloster,MS
81008,Pueblo,CO
62639,Frederick,IL
62816,Bonnie,IL
72527,Desha,AR
72926,Boles,AR
67576,Saint John,KS
69365,Whiteclay,NE
74525,Atoka,OK
17724,Canton,PA
17978,Spring Glen,PA
18840,Sayre,PA
18943,Penns Park,PA
06703,Waterbury,CT
13904,Binghamton,NY
01331,Athol,MA
39406,Hattiesburg,MS
27507,Bullock,NC
40233,Louisville,KY
31045,Jewell,GA
49746,Hillman,MI
51109,Sioux City,IA
65011,Barnett,MO
66506,Manhattan,KS
67501,Hutchinson,KS
67552,Lewis,KS
62909,Boles,IL
58216,Bathgate,ND
60090,Wheeling,IL
47712,Evansville,IN
47732,Evansville,IN
71103,Shreveport,LA
72301,West Memphis,AR
45248,Cincinnati,OH
55571,Maple Plain,MN
54131,Freedom,WI
38655,Oxford,MS
32424,Blountstown,FL
32534,Pensacola,FL
44188,Cleveland,OH
44610,Berlin,OH
35255,Birmingham,AL
41542,Lookout,KY
43347,Rushsylvania,OH
28541,Jacksonville,NC
29848,Troy,SC
49599,Grand Rapids,MI
13654,Heuvelton,NY
16679,Six Mile Run,PA
03909,York,ME
05654,Graniteville,VT
06855,Norwalk,CT
25026,Blue Creek,WV
25245,Given,WV
25922,Spanishburg,WV
21710,Adamstown,MD
22480,Irvington,VA
19478,Spring Mount,PA
10466,Bronx,NY
12065,Clifton Park,NY
12416,Chichester,NY
13139,Poplar Ridge,NY
02668,West Barnstable,MA
28093,Lincolnton,NC
28387,Southern Pines,NC
59623,Helena,MT
60805,Evergreen Park,IL
33730,Saint Petersburg,FL
35660,Sheffield,AL
41566,Steele,KY
42369,Rockport,KY
45893,Vaughnsville,OH
50058,Coon Rapids,IA
50101,Galt,IA
50634,Gilbertville,IA
11732,East Norwich,NY
11739,Great River,NY
13388,Webb,NY
39503,Gulfport,MS
30634,Dewy Rose,GA
31563,Surrency,GA
22511,Lottsburg,VA
22807,Harrisonburg,VA
23426,Sanford,VA
24007,Roanoke,VA
12407,Ashland,NY
12733,Fallsburg,NY
29402,Charleston,SC
30005,Alpharetta,GA
20158,Hamilton,VA
90671,Santa Fe Springs,CA
91305,Canoga Park,CA
92118,Coronado,CA
93665,South Dos Palos,CA
87539,La Madera,NM
94991,San Rafael,CA
95316,Denair,CA
95548,Klamath,CA
95927,Chico,CA
95971,Quincy,CA
84328,Paradise,UT
61108,Rockford,IL
62344,Huntsville,IL
62515,Buffalo,IL
63006,Chesterfield,MO
63764,Marble Hill,MO
48848,Laingsburg,MI
42252,Jetson,KY
43187,Pickerington,OH
34956,Indiantown,FL
35220,Birmingham,AL
35811,Huntsville,AL
35903,Gadsden,AL
38945,Money,MS
40040,Mackville,KY
88520,El Paso,TX
89132,Las Vegas,NV
99204,Spokane,WA
99784,White Mountain,AK
93940,Monterey,CA
92284,Yucca Valley,CA
03757,Sunapee,NH
03847,Kearsarge,NH
04762,New Sweden,ME
05845,Irasburg,VT
06477,Orange,CT
06540,New Haven,CT
00611,Angeles,PR
00717,Ponce,PR
30056,Newborn,GA
30294,Ellenwood,GA
31405,Savannah,GA
31598,Jesup,GA
36782,Sweet Water,AL
37335,Flintville,TN
19464,Pottstown,PA
23412,Modest Town,VA
24178,Villamont,VA
25718,Huntington,WV
42082,Symsonia,KY
43137,Lockbourne,OH
43333,Lewistown,OH
32405,Panama City,FL
33673,Tampa,FL
28123,Mount Mourne,NC
38875,Trebloc,MS
49712,Boyne City,MI
51542,Honey Creek,IA
52560,Floris,IA
53207,Milwaukee,WI
45490,Dayton,OH
47516,Bruceville,IN
66412,Bremen,KS
66739,Galena,KS
69031,Hamlet,NE
69123,Brady,NE
64153,Kansas City,MO
74860,Paden,OK
96752,Kekaha,HI
96774,Ookala,HI
98075,Sammamish,WA
98535,Copalis Beach,WA
15134,McKeesport,PA
15333,Fredericktown,PA
06922,Stamford,CT
00681,Mayaguez,PR
01014,Chicopee,MA
01109,Springfield,MA
31025,Elko,GA
34137,Copeland,FL
38366,Pinson,TN
96141,Homewood,CA
97014,Cascade Locks,OR
97635,New Pine Creek,CA
98351,Longbranch,WA
98393,Tracyton,WA
99505,Fort Richardson,AK
78638,Kingsbury,TX
91313,Chatsworth,CA
92235,Cathedral City,CA
99716,Two Rivers,AK
60432,Joliet,IL
61250,Erie,IL
49780,Rudyard,MI
50328,Des Moines,IA
52306,Mechanicsville,IA
59336,Ismay,MT
64458,Hatfield,MO
72422,Corning,AR
74132,Tulsa,OK
70528,Delcambre,LA
71171,Bossier City,LA
71245,Grambling,LA
71486,Zwolle,LA
71834,Doddridge,AR
99356,Roosevelt,WA
79021,Cotton Center,TX
79046,Higgins,TX
79235,Floydada,TX
91501,Burbank,CA
91978,Spring Valley,CA
92334,Fontana,CA
32329,Apalachicola,FL
55454,Minneapolis,MN
15433,East Millsboro,PA
17003,Annville,PA
17353,Orrtanna,PA
32238,Jacksonville,FL
33411,West Palm Beach,FL
20715,Bowie,MD
21758,Knoxville,MD
23943,Hampden Sydney,VA
26038,Glen Dale,WV
36027,Eufaula,AL
27938,Gatesville,NC
02907,Providence,RI
01202,Pittsfield,MA
01615,Worcester,MA
47869,Prairie Creek,IN
49107,Buchanan,MI
40999,Woollum,KY
41385,Vancleve,KY
41636,Hi Hat,KY
42156,Lucas,KY
42701,Elizabethtown,KY
43913,Brilliant,OH
45777,Sharpsburg,OH
45787,Watertown,OH
46324,Hammond,IN
36660,Mobile,AL
37724,Cumberland Gap,TN
50367,Des Moines,IA
50461,Osage,IA
33862,Lake Placid,FL
35120,Odenville,AL
36003,Autaugaville,AL
92155,San Diego,CA
94162,San Francisco,CA
80528,Fort Collins,CO
80814,Divide,CO
83274,Shelley,ID
96805,Honolulu,HI
01060,Northampton,MA
37921,Knoxville,TN
38387,Westport,TN
39429,Columbia,MS
40221,Louisville,KY
58386,York,ND
59103,Billings,MT
54165,Seymour,WI
44001,Amherst,OH
45629,Franklin Furnace,OH
45719,Chauncey,OH
47322,Bentonville,IN
49640,Honor,MI
50391,Des Moines,IA
50578,Ringsted,IA
50706,Waterloo,IA
41189,Tollesboro,KY
42201,Aberdeen,KY
43078,Urbana,OH
43226,Columbus,OH
43433,Gypsum,OH
61085,Stockton,IL
61319,Cornell,IL
61820,Champaign,IL
62615,Auburn,IL
48076,Southfield,MI
32401,Panama City,FL
32403,Panama City,FL
21824,Ewell,MD
15691,Wendel,PA
16023,Cabot,PA
12185,Valley Falls,NY
12474,Roxbury,NY
24165,Spencer,VA
24209,Bristol,VA
25057,Deep Water,WV
25524,Harts,WV
36853,Dadeville,AL
26638,Shock,WV
27407,Greensboro,NC
97055,Sandy,OR
97872,Ritter,OR
17568,Refton,PA
17832,Marion Heights,PA
17864,Port Trevorton,PA
17901,Pottsville,PA
18224,Freeland,PA
19339,Concordville,PA
32708,Winter Springs,FL
25876,Saulsville,WV
25878,Midway,WV
26506,Morgantown,WV
26562,Burton,WV
27213,Bonlee,NC
31832,Weston,GA
31901,Columbus,GA
32084,Saint Augustine,FL
05866,Sheffield,VT
07013,Clifton,NJ
10962,Orangeburg,NY
12938,Pleasant Valley,NY
02466,Auburndale,MA
02883,Peace Dale,RI
03054,Merrimack,NH
03813,Center Conway,NH
03818,Conway,NH
70463,Sun,LA
70874,Baton Rouge,LA
71466,Otis,LA
73169,Oklahoma City,OK
73194,Oklahoma City,OK
47885,West Terre Haute,IN
50448,Kensett,IA
50701,Waterloo,IA
78214,San Antonio,TX
90803,Long Beach,CA
96861,Camp H M Smith,HI
75116,Duncanville,TX
75132,Fate,TX
77489,Missouri City,TX
67341,Dennis,KS
84623,Chester,UT
85554,Young,AZ
86003,Flagstaff,AZ
39083,Hazlehurst,MS
39562,Moss Point,MS
40590,Lexington,KY
46766,Liberty Center,IN
65034,Fortuna,MO
66941,Esbon,KS
66960,Narka,KS
68529,Lincoln,NE
76356,Terral,OK
61753,Lexington,IL
56650,Kelliher,MN
57036,Hurley,SD
78535,Combes,TX
79185,Amarillo,TX
79936,El Paso,TX
70601,Lake Charles,LA
23395,Horntown,VA
24512,Lynchburg,VA
24971,Lewisburg,WV
25606,Accoville,WV
13635,Edwards,NY
13790,Johnson City,NY
16692,Westover,PA
30545,Helen,GA
32138,Grandin,FL
22738,Rochelle,VA
10550,Mount Vernon,NY
10915,Bullville,NY
27656,Raleigh,NC
29609,Greenville,SC
30062,Marietta,GA
53099,Woodland,WI
54407,Amherst Junction,WI
55763,Makinen,MN
37348,Kelso,TN
37927,Knoxville,TN
38023,Drummonds,TN
47003,West College Corner,IN
47114,Crandall,IN
08218,Goshen,NJ
13166,Weedsport,NY
15492,Wickhaven,PA
66752,Ross,KS
67659,Penokee,KS
68019,Craig,NE
72131,Quitman,AR
72838,Gravelly,AR
73149,Oklahoma City,OK
41743,Fisty,KY
42234,Guthrie,KY
70157,New Orleans,LA
26704,Augusta,WV
27438,Greensboro,NC
27828,Farmville,NC
28734,Franklin,NC
29301,Spartanburg,SC
20524,Washington,DC
51017,Craig,IA
51444,Halbur,IA
94509,Antioch,CA
79372,Sundown,TX
89158,Las Vegas,NV
89714,Carson City,NV
62043,Brushy Mound,IL
14433,Clyde,NY
16650,Hopewell,PA
23232,Richmond,VA
06880,Westport,CT
11733,East Setauket,NY
12159,Slingerlands,NY
12249,Albany,NY
10123,New York,NY
10946,Wallkill,NY
19035,Gladwyne,PA
19171,Philadelphia,PA
84533,Lake Powell,UT
85710,Tucson,AZ
97267,Portland,OR
97299,Portland,OR
04600,Winter Harbor,ME
04963,Oakland,ME
04970,Rangeley,ME
06242,Eastford,CT
27040,Pfafftown,NC
27942,Harrellsville,NC
32218,Jacksonville,FL
32683,Otter Creek,FL
35289,Birmingham,AL
36623,Mobile,AL
22135,Quantico,VA
30519,Buford,GA
31520,Brunswick,GA
20712,Mount Rainier,MD
28636,Hiddenite,NC
78587,La Victoria,TX
78648,Luling,TX
80527,Fort Collins,CO
81635,Parachute,CO
82081,Meriden,WY
70763,Paulina,LA
72142,Scott,AR
73095,Wayne,OK
74021,Collinsville,OK
97536,Prospect,OR
93501,Mojave,CA
83610,Cambridge,ID
38927,Enid,MS
40108,Brandenburg,KY
40988,Stoney Fork,KY
43549,Ney,OH
54404,Marshfield,WI
54655,Soldiers Grove,WI
56178,Tyler,MN
46959,Miami,IN
48074,Smiths Creek,MI
68447,Table Rock,NE
59643,Toston,MT
59930,Rexford,MT
61924,Chrisman,IL
58027,Enderlin,ND
63624,Bismarck,MO
72139,Russell,AR
70646,Hayes,LA
01013,Chicopee,MA
01337,Bernardston,MA
02041,Green Harbor,MA
95436,Forestville,CA
95742,Rancho Cordova,CA
96712,Haleiwa,HI
98132,Seattle,WA
92261,Palm Desert,CA
92376,Rialto,CA
94602,Oakland,CA
38826,Belden,MS
39754,Montpelier,MS
45646,Latham,OH
46155,Mays,IN
36376,Webb,AL
36560,Mount Vernon,AL
32449,Kinard,FL
62705,Springfield,IL
63742,Commerce,MO
17602,Lancaster,PA
71721,Beirne,AR
57742,Fruitdale,SD
72619,Bull Shoals,AR
73760,Meno,OK
51630,Blanchard,IA
45884,Saint Johns,OH
46121,Coatesville,IN
49781,Saint Ignace,MI
52620,Bonaparte,IA
35146,Springville,AL
36066,Prattville,AL
36608,Mobile,AL
37229,Nashville,TN
37686,Piney Flats,TN
58833,Ambrose,ND
59545,Whitlash,MT
59718,Bozeman,MT
59912,Columbia Falls,MT
41181,Willard,KY
43060,North Lewisburg,OH
54990,Iola,WI
30379,Atlanta,GA
30809,Evans,GA
17850,Montandon,PA
19539,Mertztown,PA
12822,Corinth,NY
14558,South Lima,NY
16261,Widnoon,PA
16878,West Decatur,PA
28006,Alexis,NC
22572,Warsaw,VA
26234,Rock Cave,WV
03244,Hillsboro,NH
04243,Lewiston,ME
04918,Belgrade Lakes,ME
10310,Staten Island,NY
11026,Great Neck,NY
12009,Altamont,NY
12018,Averill Park,NY
06094,Winchester Center,CT
06107,W Hartford,CT
07067,Colonia,NJ
59314,Biddle,MT
75356,Dallas,TX
63943,Grandin,MO
70437,Folsom,LA
71920,Alpine,AR
72032,Conway,AR
83706,Boise,ID
83872,Viola,ID
87747,Springer,NM
97750,Mitchell,OR
98122,Seattle,WA
98644,Seaview,WA
99725,Ester,AK
99928,Ward Cove,AK
95437,Fort Bragg,CA
80247,Denver,CO
82840,Saddlestring,WY
29152,Shaw A F B,SC
29810,Allendale,SC
30457,Soperton,GA
31030,Fort Valley,GA
37872,Sunbright,TN
39112,Sanatorium,MS
44627,Fredericksburg,OH
45033,Hooven,OH
46216,Indianapolis,IN
47524,Decker,IN
54756,Nelson,WI
00805,St Thomas,VI
38647,Michigan City,MS
39773,West Point,MS
31049,Kite,GA
32226,Jacksonville,FL
32512,Pensacola,FL
44021,Burton,OH
45628,Frankfort,OH
27628,Raleigh,NC
43199,Groveport,OH
95521,Arcata,CA
95834,Sacramento,CA
97213,Portland,OR
76129,Fort Worth,TX
78569,Lyford,TX
68727,Coleridge,NE
68763,Oneill,NE
56251,Kandiyohi,MN
60196,Schaumburg,IL
49786,Kincheloe,MI
50484,Woden,IA
50515,Ayrshire,IA
53705,Madison,WI
63125,Saint Louis,MO
65261,Keytesville,MO
45205,Cincinnati,OH
72026,Casscoe,AR
48854,Mason,MI
61370,Tonica,IL
28516,Beaufort,NC
29111,New Zion,SC
30269,Peachtree City,GA
35253,Birmingham,AL
36429,Brooklyn,AL
21919,Earleville,MD
23058,Glen Allen,VA
33701,Saint Petersburg,FL
72858,Pottsville,AR
73750,Kingfisher,OK
73771,Wakita,OK
75050,Grand Prairie,TX
81025,Boone,CO
94579,San Leandro,CA
95041,Mount Hermon,CA
95354,Modesto,CA
95633,Garden Valley,CA
96074,Paskenta,CA
96773,Ninole,HI
16114,Clarks Mills,PA
18050,Flicksville,PA
10933,Johnson,NY
12154,Schaghticoke,NY
12792,Yulan,NY
12992,West Chazy,NY
19371,Suplee,PA
19428,Conshohocken,PA
21755,Jefferson,MD
24808,Anawalt,WV
04653,Bass Harbor,ME
00801,St Thomas,VI
75270,Dallas,TX
75416,Blossom,TX
76869,Pontotoc,TX
78043,Laredo,TX
84627,Ephraim,UT
78537,Donna,TX
78655,Martindale,TX
79502,Aspermont,TX
96806,Honolulu,HI
96820,Honolulu,HI
97146,Warrenton,OR
93421,Arroyo Grande,CA
95132,San Jose,CA
91320,Newbury Park,CA
99693,Whittier,AK
30214,Fayetteville,GA
30732,Oakman,GA
30904,Augusta,GA
31061,Milledgeville,GA
36273,Ranburne,AL
45864,Miller City,OH
46110,Boggstown,IN
47458,Smithville,IN
04072,Saco,ME
04553,Newcastle,ME
05433,Lincoln,VT
06030,Farmington,CT
00655,Olimpo,PR
01705,Framingham,MA
02542,Buzzards Bay,MA
22092,Herndon,VA
22437,Center Cross,VA
23458,Virginia Beach,VA
18813,Brooklyn,PA
13613,Brasher Falls,NY
15025,Clairton,PA
15027,Conway,PA
16210,Adrian,PA
06812,New Fairfield,CT
92532,Lake Elsinore,CA
92705,Santa Ana,CA
93150,Santa Barbara,CA
95458,Lucerne,CA
95972,Rackerby,CA
97266,Portland,OR
97903,Brogan,OR
98576,Rainier,WA
87939,Monticello,NM
37867,Shawanee,TN
99677,Tatitlek,AK
60956,Papineau,IL
62243,Freeburg,IL
78639,Kingsland,TX
80130,Lone Tree,CO
82931,Evanston,WY
69138,Gothenburg,NE
73544,Gould,OK
76909,San Angelo,TX
77505,Pasadena,TX
84734,Hanksville,UT
85233,Gilbert,AZ
86025,Holbrook,AZ
59026,Edgar,MT
59221,Fairview,MT
60030,Grayslake,IL
57702,Rapid City,SD
49854,Manistique,MI
41317,Clayhole,KY
